ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PD,MORENA,PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,CANATLAN,37,53,4377,3839,58,3625,318,1347,119,736,58,,,,,,,14477,5,264,14746,24600,
10,DURANGO,2,CANELAS,12,13,869,442,33,,,,,701,17,,,,,,,2062,0,31,2093,3229,
10,DURANGO,3,CONETO DE COMONFORT,9,11,286,,9,270,,390,1187,137,5,,,,,,,2284,0,16,2300,3419,
10,DURANGO,4,CUENCAME,37,54,1831,4960,2164,,142,147,29,3255,747,,601,,,,,13876,55,401,14332,25664,
10,DURANGO,5,DURANGO,329,804,73295,18449,,4819,24842,51897,1068,17823,,4442,,,,,,196635,79,4912,201626,481519,
10,DURANGO,6,SIMON BOLIVAR,15,22,2047,1326,10,1562,,,117,81,112,,,,,,,5255,0,95,5350,7778,
10,DURANGO,7,GOMEZ PALACIO,206,445,12414,24628,,2492,2304,1701,1474,27129,,,,,,,,72142,1159,2681,75982,257507,
10,DURANGO,8,GUADALUPE VICTORIA,26,54,1918,4602,2717,4217,258,456,489,1163,344,,,,,,,16164,7,389,16560,29125,
10,DURANGO,9,GUANACEVI,21,28,1423,3138,40,,,,33,398,20,,,,,,,5052,0,64,5116,7421,
10,DURANGO,10,HIDALGO,7,11,588,294,42,,711,,,501,14,,,,,,,2150,0,31,2181,3295,
10,DURANGO,11,INDE,16,17,,2255,,,,,,,,,,,,,,2255,20,188,2463,4387,
10,DURANGO,12,LERDO,79,191,6780,14321,,970,1181,6243,680,13697,,,,1406,,,,45278,16,1335,46629,109000,
10,DURANGO,13,MAPIMI,24,41,2294,2823,265,248,124,263,721,2262,92,,,,,,,9092,3,217,9312,18169,
10,DURANGO,14,MEZQUITAL,31,62,456,8226,405,861,,,301,7019,26,,,,,,,17294,4,561,17859,29539,
10,DURANGO,15,NAZAS,17,21,2440,917,,,1522,,464,1129,,,,,,,,6472,2,72,6546,9512,
10,DURANGO,16,NOMBRE DE DIOS,19,28,273,527,2334,144,1975,1141,153,1245,54,,,,43,,,7889,1,225,8115,14664,
10,DURANGO,17,NUEVO IDEAL,29,45,5227,2727,63,,,476,32,1602,291,,,,,,,10418,5,178,10601,21229,
10,DURANGO,18,OCAMPO,16,17,1232,1716,12,,74,647,,682,9,,,,,116,,4488,1,69,4558,6803,
10,DURANGO,19,EL ORO,23,29,2369,1416,22,,1099,40,,301,9,,,,,,,5256,2,103,5361,9787,
10,DURANGO,20,OTAEZ,14,16,12,371,16,,107,811,,1421,0,,,,,,,2738,0,33,2771,3867,
10,DURANGO,21,PANUCO DE CORONADO,16,25,2211,3194,33,79,269,,43,427,39,,,,,,,6295,0,124,6419,10942,
10,DURANGO,22,PEÃ‘ON BLANCO,14,19,1483,2053,25,70,,,130,1366,33,,,,,,,5160,0,99,5259,8442,
10,DURANGO,23,POANAS,23,39,3046,3253,134,612,127,4034,22,502,58,,,,,,,11788,5,214,12007,19569,
10,DURANGO,24,PUEBLO NUEVO,44,69,4262,5702,353,439,155,272,161,4180,106,,,,,,,15630,6,422,16058,33109,
10,DURANGO,25,RODEO,19,25,1317,1186,1521,,,866,67,410,406,,,,,,,5773,10,91,5874,9957,
10,DURANGO,26,SAN BERNARDO,11,13,898,757,27,,,,,74,33,,,,,,,1789,0,22,1811,2736,
10,DURANGO,27,SAN DIMAS,33,42,2862,2043,28,,,481,86,1819,222,,,,,,,7541,0,114,7655,13711,
10,DURANGO,28,SAN JUAN DE GUADALUPE,12,13,272,1080,609,787,,,12,160,193,,,,,,,3113,0,34,3147,4340,
10,DURANGO,29,SAN JUAN DEL RIO,22,27,1028,2531,27,300,,,503,1799,5,,,,,,,6193,0,110,6303,9966,
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,665,89,14,,83,,,346,7,,,,,,,1204,0,12,1216,1868,
10,DURANGO,31,SAN PEDRO DEL GALLO,5,6,442,436,61,,107,,,22,17,,,,,,,1085,0,4,1089,1480,
10,DURANGO,32,SANTA CLARA,8,11,459,1229,469,,123,,48,1219,182,,,,,,,3729,0,67,3796,5334,
10,DURANGO,33,SANTIAGO PAPASQUIARO,58,84,11816,1763,694,275,,,96,2974,207,,,,,,,17825,7,435,18267,37127,
10,DURANGO,34,SUCHIL,10,13,1091,1102,14,,237,9,21,188,7,,,,,,946,3615,0,18,3633,5344,
10,DURANGO,35,TAMAZULA,30,37,1712,4308,81,,,,,3881,17,,,,,,,9999,3,80,10082,16245,
10,DURANGO,36,TEPEHUANES,23,31,140,2191,89,1791,,,,1406,1,,,,,,,5618,0,96,5714,9941,
10,DURANGO,37,TLAHUALILO,23,32,3266,3844,81,,256,,486,1408,54,,,,,,,9395,2,160,9557,14967,
10,DURANGO,38,TOPIA,13,16,1222,895,16,,28,279,,939,16,,,,,,,3395,0,59,3454,5773,
10,DURANGO,39,VICENTE GUERRERO,16,31,3090,1834,65,,3083,305,26,930,62,,,,,,,9395,0,163,9558,17222,
