ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,CAND_IND1,PRI_PRD,PT_PVEM,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,382,1007,3945,92842,11529,3719,2950,15505,138697,3799,2392,4407,,2533,,,282318,93,8621,291032,588569,
12,GUERRERO,2,AHUACUOTZINGO,26,39,33,5686,5726,,,,1416,107,,177,,,,,13145,0,268,13413,18931,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,,9290,133,52,39,,6134,150,,127,,,4,,15929,10,469,16408,26530,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,29,,1741,3052,1881,921,,969,,,,,,,,8564,0,317,8881,14587,
12,GUERRERO,5,ALPOYECA,5,11,577,21,912,235,80,1699,164,,,,,,,,3688,1,213,3902,5415,
12,GUERRERO,6,APAXTLA,16,20,,1152,1254,91,14,1511,1090,74,,24,,,1,,5211,0,148,5359,7846,
12,GUERRERO,7,ARCELIA,44,61,,12799,208,69,31,,1864,116,,,,,1,,15088,0,235,15323,23610,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,,793,12,638,128,,272,1612,,1206,,10,,,4671,0,220,4891,6617,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,,256,737,929,23,,1157,,,,,,,,3102,1,108,3211,4401,
12,GUERRERO,10,ATLIXTAC,22,47,188,1254,8655,124,93,67,1357,,,,,,7,,11745,5,572,12322,18454,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,49,2716,2963,307,687,511,10532,3737,1236,,,266,,,23004,4,1070,24078,44673,
12,GUERRERO,12,AYUTLA DE LOS LIBRES,55,95,,,,,,,,,,,,,,,,,,,44341,
12,GUERRERO,13,AZOYU,17,23,25,4350,197,15,16,219,2439,,81,31,,81,1,,7455,0,237,7700,10785,
12,GUERRERO,14,BENITO JUAREZ,15,25,1434,606,1059,156,1654,,3013,42,,21,,58,,,8043,0,269,8312,12179,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,758,680,57,1720,23,9,1640,73,437,1385,,7,,,6789,1,172,6962,10236,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,33,37,32,121,32,243,13,4781,26,,,,1,,,5286,1,131,5418,8956,
12,GUERRERO,17,COCULA,24,28,,202,895,40,44,3002,3431,,,,,,1,,7615,3,188,7806,12013,
12,GUERRERO,18,COPALA,14,21,4,189,3300,73,2942,,838,28,45,,,,60,,7479,0,345,7824,10940,
12,GUERRERO,19,COPALILLO,10,22,1820,494,26,1287,1642,369,466,141,1371,342,,3,,,7961,1,369,8331,11542,
12,GUERRERO,20,COPANATOYAC,15,28,49,3792,1830,140,70,,3452,,,,,,0,,9333,2,386,9721,13907,
12,GUERRERO,21,COYUCA DE BENITEZ,59,100,129,9208,8335,263,,236,10873,820,1022,479,,,,,31365,2,796,32163,52973,
12,GUERRERO,22,COYUCA DE CATALAN,53,69,,2136,7693,104,108,,3066,114,74,75,,267,2,,13639,1,614,14254,30875,
12,GUERRERO,23,CUAJINICUILAPA,28,41,149,1313,86,540,6735,1244,837,,,94,,20,,,11018,2,459,11479,17964,
12,GUERRERO,24,CUALAC,7,13,10,1516,8,817,1386,,512,,,28,,,,,4277,0,119,4396,5553,
12,GUERRERO,25,CUAUTEPEC,13,23,,2288,3946,22,637,7,534,1338,51,12,,,,,8835,0,283,9118,11678,
12,GUERRERO,26,CUETZALA DEL PROGRESO,15,15,,1193,993,54,12,,1918,,75,,,,1,,4246,0,124,4370,6231,
12,GUERRERO,27,CUTZAMALA DE PINZON,42,49,,5680,136,60,52,1858,1044,,,,,,1,,8831,26,520,9377,17522,
12,GUERRERO,28,CHILAPA DE ALVAREZ,85,170,453,22784,6465,539,402,254,11348,535,578,172,,,,,43530,7,2030,45567,89344,
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,330,3562,29960,9102,732,2450,2617,54060,1117,803,530,,1522,,,106455,212,2687,109354,201121,
12,GUERRERO,30,EDUARDO NERI,29,66,265,1777,4307,7340,,,7076,,229,,,154,,,21148,2,902,22052,36713,
12,GUERRERO,31,FLORENCIO VILLARREAL,18,32,,762,5283,29,77,40,3392,67,,344,,,,,9994,0,304,10298,16029,
12,GUERRERO,32,GENERAL CANUTO A. NERI,16,17,8,42,130,20,14,1587,1286,,,,,1,0,,3088,1,130,3219,4505,
12,GUERRERO,33,GENERAL HELIODORO CASTILLO,47,58,204,7651,156,67,78,429,634,,,,,,0,,9219,5,515,9739,22801,
12,GUERRERO,34,HUAMUXTITLAN,12,23,,441,2318,232,291,1724,3004,,188,,,133,,,8331,3,231,8565,11680,
12,GUERRERO,35,HUITZUCO DE LOS FIGUEROA,36,62,97,6681,144,587,357,,7759,366,197,77,,,,,16265,1,427,16693,30150,
12,GUERRERO,36,IGUALA DE LA INDEPENDENCIA,85,198,1080,15744,3972,2913,10477,940,13473,1018,777,425,,712,460,,51991,16,1609,53616,112988,
12,GUERRERO,37,IGUALAPA,12,17,,57,2398,36,2117,,1682,,,,,,,,6290,0,220,6510,8376,
12,GUERRERO,38,IXCATEOPAN DE CUAUHTEMOC,12,14,,1697,2030,133,11,,283,,,,,,0,,4154,0,77,4231,5383,
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,63,168,213,22530,2294,1530,178,342,19117,1954,,307,,453,,,48918,33,1397,50348,97509,
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,55,3835,3320,265,3084,,1047,429,28,183,,,,,12246,2,457,12705,18533,
12,GUERRERO,41,LEONARDO BRAVO,22,36,7585,1019,46,139,,40,869,,,29,,,,,9727,0,1410,11137,17980,
12,GUERRERO,42,MALINALTEPEC,16,37,60,444,2031,2423,136,0,3648,3730,,,,33,22,,12527,3,879,13409,19340,
12,GUERRERO,43,MARTIR DE CUILAPAN,16,27,26,590,3104,876,73,2957,799,226,138,,,79,,,8868,2,422,9292,14054,
12,GUERRERO,44,METLATONOC,16,32,,48,95,3514,,1235,2514,950,,,,,,,8356,21,313,8690,13509,
12,GUERRERO,45,MOCHITLAN,17,23,,98,400,1175,3850,27,316,26,20,46,,26,,,5984,1,330,6315,9041,
12,GUERRERO,46,OLINALA,25,39,,5739,119,172,,582,7420,,,,,,,,14032,11,310,14353,19391,
12,GUERRERO,47,OMETEPEC,38,88,153,14715,844,3318,103,,12226,352,,244,,220,,,32175,2,970,33147,45874,
12,GUERRERO,48,PEDRO ASCENCIO ALQUISIRAS,20,21,,635,1843,43,24,152,408,,,,,64,14,,3183,0,87,3270,4823,
12,GUERRERO,49,PETATLAN,52,75,112,9309,2388,177,,121,6544,90,157,,,,,,18898,1,453,19352,32890,
12,GUERRERO,50,PILCAYA,15,21,3945,96,138,,44,,2621,,,,,3,,,6847,0,217,7064,9313,
12,GUERRERO,51,PUNGARABATO,22,53,228,8581,126,63,37,52,5308,68,,53,,,2,,14518,13,475,15006,29292,
12,GUERRERO,52,QUECHULTENANGO,40,54,131,1243,9639,,,192,1004,,108,,,647,,,12964,42,470,13476,24212,
12,GUERRERO,53,SAN LUIS ACATLAN,25,57,132,2363,906,7727,64,107,5591,,,341,,90,,,17321,4,831,18156,29956,
12,GUERRERO,54,SAN MARCOS,47,75,1845,5160,6485,1029,3920,749,3142,482,,399,,,,,23211,2,1158,24371,36869,
12,GUERRERO,55,SAN MIGUEL TOTOLAPAN,37,43,660,221,7787,61,34,,963,,,,,,0,,9726,2,450,10178,14279,
12,GUERRERO,56,TAXCO DE ALARCON,88,152,6842,8843,2459,504,1906,1252,7210,240,,13548,1139,160,,,44103,16,1962,46081,80631,
12,GUERRERO,57,TECOANAPA,39,62,5150,1946,1296,2878,7707,267,1098,1250,153,146,,,,,21891,8,1023,22922,31152,
12,GUERRERO,58,TECPAN DE GALEANA,66,102,66,3627,10809,327,840,89,10600,618,,129,,359,16,,27480,0,745,28225,48690,
12,GUERRERO,59,TELOLOAPAN,76,103,82,1368,7383,6846,512,,3771,175,220,214,,542,144,,21257,1,760,22018,38286,
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,49,4565,4141,,458,,1847,3086,,,495,,,,,14592,1,414,15007,25065,
12,GUERRERO,61,TETIPAC,23,27,2743,3200,41,27,44,,711,,,,,52,,,6818,4,225,7047,9996,
12,GUERRERO,62,TIXTLA DE GUERRERO,29,58,415,1748,3783,193,,,9686,237,432,,,164,,,16658,8,537,17203,31567,
12,GUERRERO,63,TLACOACHISTLAHUACA,14,30,373,1254,4446,1110,2112,,1074,79,,84,,,,,10532,0,465,10997,15963,
12,GUERRERO,64,TLACOAPA,10,15,1798,1668,57,29,17,,599,532,,,,,0,,4700,0,225,4925,6428,
12,GUERRERO,65,TLALCHAPA,17,22,91,586,98,140,16,,4751,,,,,7,,,5689,1,284,5974,9539,
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,12,13,1342,21,83,288,,1399,,,,,6,,,3152,5,90,3247,5497,
12,GUERRERO,67,TLAPA DE COMONFORT,37,108,239,12435,1392,4005,143,352,14043,,,,,249,11,,32869,24,1108,34001,63493,
12,GUERRERO,68,TLAPEHUALA,22,35,71,7697,71,43,14,,1990,,,,,,0,,9886,1,225,10112,16794,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,,159,8910,33,72,49,5289,73,,96,,,5,,14686,3,326,15015,21555,
12,GUERRERO,70,XALPATLAHUAC,13,20,29,2479,29,95,39,1987,2028,,,,,,0,,6686,0,278,6964,9943,
12,GUERRERO,71,XOCHIHUEHUETLAN,8,12,53,34,714,422,1747,,974,,,,,,,,3944,1,122,4067,5896,
12,GUERRERO,72,XOCHISTLAHUACA,15,37,58,7284,120,4134,291,26,1651,1063,118,35,,,,,14780,0,470,15250,20400,
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,14,398,344,1275,2439,12,573,357,,,,,,,,5398,0,249,5647,7291,
12,GUERRERO,74,ZIRANDARO,22,32,,1758,536,121,28,,4938,64,,125,,125,1,,7696,0,167,7863,13955,
12,GUERRERO,75,ZITLALA,19,33,1680,1288,4194,83,637,80,977,,133,,,94,1,,9167,3,542,9712,15914,
12,GUERRERO,76,ACATEPEC,26,62,5910,146,10843,42,38,,942,,,,,,2,,17923,2,458,18383,22193,
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,20,31,2786,1758,275,792,,2038,,,,,,,,7680,0,596,8276,11045,
12,GUERRERO,78,ILIATENCO,6,14,8,9,,2664,22,2165,248,,,,,,,2,5118,0,79,5197,7108,
12,GUERRERO,79,COCHOAPA EL GRANDE,16,33,1889,438,1199,1824,2209,1414,116,,,,,,,,9089,50,327,9466,15724,
12,GUERRERO,80,MARQUELIA,11,19,8,2194,569,212,1864,,1383,44,,,,156,64,,6494,0,199,6693,9872,
12,GUERRERO,81,JUCHITAN,12,15,621,45,35,1266,1440,,407,,,,,1,,,3815,0,218,4033,5767,
