ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,10,18,899,387,671,1081,26,76,227,,,235,56,,,,71,1338,,,,,,,,,,,,5067,0,203,5270,8933,
16,MICHOACAN,2,AGUILILLA,13,22,,770,,163,1669,184,1113,48,,,131,,,,,,,,,,,,,,,,,4078,1,122,4201,11673,
16,MICHOACAN,3,ALVARO OBREGON,12,29,114,3302,454,369,133,,560,3851,38,1693,47,,,16,,,,,,,,,,,,,,10577,2,286,10865,17078,
16,MICHOACAN,4,ANGAMACUTIRO,13,25,30,1325,1104,65,32,,1919,248,,2952,18,,,16,,,,,,,,,,,,,,7709,1,148,7858,12679,
16,MICHOACAN,5,ANGANGUEO,6,12,14,256,232,1336,509,1688,200,35,89,,141,,1,,,,,,,,,,,,,,,4501,4,139,4644,8106,
16,MICHOACAN,6,APATZINGAN,78,170,792,5844,1707,1963,2635,507,11994,294,2727,849,708,402,52,9,44,,,,,,,2114,2132,,,,,34773,36,1288,36097,92583,
16,MICHOACAN,7,APORO,4,6,148,93,100,,171,779,,207,112,534,,9,,,,,,,,,,,,,,,,2153,0,44,2197,2874,
16,MICHOACAN,8,AQUILA,13,32,,905,3981,83,8233,,352,,,,15,,,,,,,,,,,,,,,,,13569,1,293,13863,19386,
16,MICHOACAN,9,ARIO,21,47,4426,900,313,237,4087,,1203,,,733,136,592,104,46,15,,,,,,,,,,,,,12792,8,504,13304,27397,
16,MICHOACAN,10,ARTEAGA,14,36,461,2808,921,262,93,,4039,,108,,89,,114,,,,,,,,,,,,,,,8895,1,247,9143,16236,
16,MICHOACAN,11,BRISEÑAS,6,11,50,291,511,117,252,1190,378,559,209,404,19,45,1,2,5,,,,,,,,,,,,,4033,0,85,4118,6372,
16,MICHOACAN,12,BUENAVISTA,22,55,406,1878,861,740,123,52,4175,567,107,986,358,114,9,5,14,,,,,,,,,,,,,10395,13,376,10784,31396,
16,MICHOACAN,13,CARACUARO,12,17,11,208,875,261,2286,,1107,237,,,172,,,,103,,,,,,,,,,,,,5260,1,165,5426,7721,
16,MICHOACAN,14,COAHUAYANA,12,21,313,854,1366,160,506,,815,,,1611,131,,,,,,,,,,,,,,,,,5756,0,139,5895,11295,
16,MICHOACAN,15,COALCOMAN DE VAZQUEZ PALLARES,16,29,230,1214,1884,171,1737,1194,1252,,,,68,,,,,,,,,,,,,,,,,7750,4,254,8008,14649,
16,MICHOACAN,16,COENEO,29,42,472,372,2447,659,,,4896,303,,,362,,,,177,,,,,,,,,,,,,9688,0,320,10008,19173,
16,MICHOACAN,17,CONTEPEC,13,40,148,6140,5244,409,439,,1705,39,55,,189,,145,,,,,,,,,,,,,,,14513,3,420,14936,24053,
16,MICHOACAN,18,COPANDARO,6,12,14,1825,829,918,181,,438,,,,216,,,8,,,,,,,,,,,,,,4429,1,92,4522,7627,
16,MICHOACAN,19,COTIJA,19,36,3486,621,454,388,109,,1833,,,,511,,,,114,,,,,,,,,,,,,7516,1,330,7847,17279,
16,MICHOACAN,20,CUITZEO,16,43,338,1336,2054,3295,189,1520,1430,934,135,790,320,,,114,,,,,,,,,,,,,,12455,1,374,12830,23620,
16,MICHOACAN,21,CHARAPAN,3,8,,785,1185,51,,524,644,624,68,388,5,,,,,,,,,,,,,,,,,4274,0,93,4367,5566,
16,MICHOACAN,22,CHARO,15,29,454,193,2120,161,404,2129,1281,,64,214,135,,40,,,,3359,,,,,,,,,,,10554,2,279,10835,16976,
16,MICHOACAN,23,CHAVINDA,11,20,756,608,591,250,367,,1494,,,,220,,180,,,,,,,,,,,,,,,4466,1,111,4578,9394,
16,MICHOACAN,24,CHERAN,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103,
16,MICHOACAN,25,CHILCHOTA,17,47,155,3308,1074,2796,527,3476,3266,1946,,133,,165,11,4,37,,,,,,,,,,,,,16898,8,557,17463,28753,
16,MICHOACAN,26,CHINICUILA,7,10,,252,356,34,455,,445,728,,,14,,,,,,,,,,,,,,,,,2284,2,64,2350,3990,
16,MICHOACAN,27,CHUCANDIRO,6,11,12,197,624,48,1343,,315,19,,,13,,,,,,,,,,,,,,,,,2571,0,70,2641,5009,
16,MICHOACAN,28,CHURINTZIO,8,13,,147,993,82,27,,1496,,,,23,,,,,,,,,,,,,,,,,2768,1,73,2842,6092,
16,MICHOACAN,29,CHURUMUCO,13,22,,5392,,28,825,,159,,,,5,,,,,,,,,,,,,,,,,6409,3,286,6698,10623,
16,MICHOACAN,30,ECUANDUREO,13,23,2743,,261,96,,2012,651,,,,33,,,181,,,,,,,,,,,,,,5977,3,199,6179,11432,
16,MICHOACAN,31,EPITACIO HUERTA,11,21,2796,1659,452,39,494,108,961,90,,,13,,,,45,,,,,,,,,,,,,6657,47,157,6861,11779,
16,MICHOACAN,32,ERONGARICUARO,10,23,42,2897,427,806,345,339,3057,,,,347,,,,,,,,,,,,,,,,,8260,2,322,8584,12049,
16,MICHOACAN,33,GABRIEL ZAMORA,13,30,67,272,482,392,1081,36,4753,,,,589,,,,82,,,,,,,,,,,,,7754,2,270,8026,16582,
16,MICHOACAN,34,HIDALGO,72,160,3998,4037,3726,10812,7343,7214,4074,717,359,784,1070,,,,431,,,,,,,,,,,,,44565,18,1919,46502,91583,
16,MICHOACAN,35,LA HUACANA,28,50,,3116,,1978,,,11115,,,,518,,,,,,,,,,,,,,,,,16727,4,784,17515,24464,
16,MICHOACAN,36,HUANDACAREO,10,18,497,897,2118,527,565,,1068,176,,,,,88,,,,,,,,,,,,,,,5936,1,196,6133,10339,
16,MICHOACAN,37,HUANIQUEO,11,14,,90,1136,257,,,821,,,,113,,,,,,,1308,,,,,,,,,,3725,2,155,3882,7626,
16,MICHOACAN,38,HUETAMO,45,69,190,1516,8087,577,144,330,6613,126,,,372,,,223,,,,,,,,,,,,,,18178,3,505,18686,33537,
16,MICHOACAN,39,HUIRAMBA,4,11,21,2041,554,113,48,,897,,,557,77,,,17,,,,,,,,,,,,,,4325,0,138,4463,6837,
16,MICHOACAN,40,INDAPARAPEO,13,26,58,795,1595,168,2398,570,465,,73,1720,50,,,29,,,,,,,,,,,,,,7921,3,232,8156,13669,
16,MICHOACAN,41,IRIMBO,8,21,143,2258,2185,111,121,161,1505,,86,,95,,168,,,,,,,,,,,,,,,6833,1,190,7024,12650,
16,MICHOACAN,42,IXTLAN,12,21,309,2219,1504,1225,43,,508,,48,256,82,,195,,,,,,,,,,,,,,,6389,4,164,6557,11564,
16,MICHOACAN,43,JACONA,27,81,1362,5475,914,1860,1659,886,6599,,263,,975,,,,542,,,,,,,,,,,,,20535,8,569,21112,53359,
16,MICHOACAN,44,JIMENEZ,14,24,68,133,2001,133,72,,2000,,,752,36,116,9,11,14,,,,,,,,,,,,,5345,43,225,5613,12327,
16,MICHOACAN,45,JIQUILPAN,30,65,554,1000,1569,180,3460,5016,2949,,,,65,366,21,14,15,,,,,,,,,,,,,15209,3,454,15666,32858,
16,MICHOACAN,46,JOSE SIXTO VERDUZCO,18,38,56,1170,2878,199,3446,54,936,413,1747,640,45,,,,,,,,,,,,,,,,,11584,9,396,11989,21355,
16,MICHOACAN,47,JUAREZ,12,20,39,499,1465,73,3057,,1524,44,,,76,,,,136,,,,,,,,,,,,,6913,1,177,7091,10733,
16,MICHOACAN,48,JUNGAPEO,16,30,79,184,2244,298,2064,26,1775,,73,,366,,,105,,,,,2433,,,,,,,,,9647,4,283,9934,15128,
16,MICHOACAN,49,LAGUNILLAS,4,10,178,45,34,907,140,,251,1429,,249,82,38,3,1,3,,,,,,,,,,,,,3360,0,118,3478,5292,
16,MICHOACAN,50,LAZARO CARDENAS,65,228,4739,6097,10674,2156,769,561,34310,366,1868,834,,,,,477,,,,,,,,,,,,,62851,28,1385,64264,140241,
16,MICHOACAN,51,MADERO,14,27,352,2841,858,2837,40,32,781,161,179,,379,467,45,15,42,,,,,,,,,,,,,9029,0,330,9359,14237,
16,MICHOACAN,52,MARAVATIO,44,114,1036,1047,7492,817,3914,,8285,,507,530,679,573,27,72,68,,,,,,,,,,,,,25047,11,845,25903,64678,
16,MICHOACAN,53,MARCOS CASTELLANOS,11,20,1999,1416,254,147,310,,1562,,,,22,,,,,,,,,,,,,,,,,5710,0,109,5819,9936,
16,MICHOACAN,54,MORELIA,371,1050,80386,64101,16265,5384,11900,5237,78099,4240,3228,2396,3427,,,5128,,,,,,,,,,,,,,279791,215,9691,289697,636183,
16,MICHOACAN,55,MORELOS,9,16,33,346,172,162,19,1301,1086,1174,,86,98,,,4,,,,,,,,,,,,,,4481,1,124,4606,7939,
16,MICHOACAN,56,MUGICA,24,59,176,586,548,2393,374,,9876,107,,219,832,122,12,13,19,,,,,,,,,,,,,15277,29,712,16018,34242,
16,MICHOACAN,57,NAHUATZEN,10,26,58,2186,1620,76,1256,41,955,689,455,1003,45,,,16,,,,,,,,,,,,,,8400,2,344,8746,15262,
16,MICHOACAN,58,NOCUPETARO,13,17,73,2143,1839,134,16,,573,,21,100,49,,87,,,,,,,,,,,,,,,5035,0,170,5205,7255,
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,26,390,3257,3537,468,28,,1339,,,,344,,,435,,,,,,,,,,,,,,9798,0,145,9943,14829,
16,MICHOACAN,60,NUEVO URECHO,9,14,,,1945,898,50,,1167,13,,,280,,,,,,,,,,,,,,,,,4353,0,81,4434,6290,
16,MICHOACAN,61,NUMARAN,9,17,1022,2540,1154,43,20,,476,319,,,33,,,,,,,,,,,,,,,,,5607,31,92,5730,9682,
16,MICHOACAN,62,OCAMPO,11,28,1961,3598,881,1301,119,23,256,50,2697,17,108,,,,,,,,,,,,,,,,,11011,0,436,11447,16827,
16,MICHOACAN,63,PAJACUARAN,18,33,521,1297,61,201,19,,2463,,,4179,249,,,,50,,,,,,,,,,,,,9040,1,112,9153,15555,
16,MICHOACAN,64,PANINDICUARO,19,31,12,63,2386,29,1341,28,206,,22,146,4,,,,,,,,,,,,,3818,,,,8055,3,306,8364,14245,
16,MICHOACAN,65,PARACUARO,16,33,183,534,3500,353,55,,5200,,,,398,295,8,32,33,,,,,,,,,,,,,10591,1,240,10832,19051,
16,MICHOACAN,66,PARACHO,14,41,1257,484,2150,104,2092,727,2106,1800,209,2424,59,,,,,,,,,,,,,,,,,13412,15,444,13871,23688,
16,MICHOACAN,67,PATZCUARO,43,115,1086,2116,2453,1269,1579,2284,5290,1825,3258,7347,353,175,36,13,28,,,,,,,,,,,,,29112,18,1467,30597,69902,
16,MICHOACAN,68,PENJAMILLO,19,31,100,1976,1654,120,28,,1750,2293,,,112,,134,,,,,,,,,,,,,,,8167,17,226,8410,16102,
16,MICHOACAN,69,PERIBAN,12,34,2104,1733,141,122,3964,,1443,,,488,60,,,98,,,,,,,,,,,765,,,10918,3,268,11189,21042,
16,MICHOACAN,70,LA PIEDAD,61,137,9844,6112,928,955,932,4676,8634,,342,,285,,,202,,,,,,,,,,,,,,32910,31,694,33635,81284,
16,MICHOACAN,71,PUREPERO,11,22,,732,616,132,,1516,401,1977,1328,,87,,,,180,,,,,,,,,,,,,6969,4,276,7249,13156,
16,MICHOACAN,72,PURUANDIRO,46,106,461,7457,1563,1835,3130,1885,3492,1795,198,198,211,,,,189,,,,,,,,,,,,,22414,13,1093,23520,60510,
16,MICHOACAN,73,QUERENDARO,14,22,560,212,130,98,354,1553,653,184,1859,,38,42,4,4,3,,,,,,,,,,,,,5694,3,206,5903,11108,
16,MICHOACAN,74,QUIROGA,12,31,2566,1892,1122,174,297,228,1544,2616,325,,59,,,,,,,,,,,,,,,,,10823,2,358,11183,17600,
16,MICHOACAN,75,COJUMATLAN DE REGULES,9,19,22,750,1179,1240,,9,147,1270,,259,130,,,25,,,,,,,,,,,,,,5031,2,99,5132,8435,
16,MICHOACAN,76,LOS REYES,35,97,6608,1583,2475,912,1070,2157,4004,2291,1707,,193,,,,221,,,,,2187,,,,,,,,25408,17,906,26331,56889,
16,MICHOACAN,77,SAHUAYO,49,99,11072,9001,867,199,220,2299,3646,108,,,67,,,,424,,,,,,,,,,,,,27903,9,743,28655,55371,
16,MICHOACAN,78,SAN LUCAS,20,29,1314,2429,1595,79,21,,610,1604,107,,16,,,,,,,,,,,,,,,,,7775,33,319,8127,14697,
16,MICHOACAN,79,SANTA ANA MAYA,11,19,722,311,242,488,200,343,1019,2385,,,52,32,9,7,1,,,,,,,,,,,,,5811,1,151,5963,11410,
16,MICHOACAN,80,SALVADOR ESCALANTE,24,58,400,1099,4548,668,5247,80,2662,,2892,447,207,310,28,35,54,,,,,,,,,,,,,18677,0,779,19456,35770,
16,MICHOACAN,81,SENGUIO,11,28,186,2067,2171,497,733,328,2163,102,,47,297,,123,,,,,,,,,,,,,,,8714,5,285,9004,15741,
16,MICHOACAN,82,SUSUPUATO,10,15,10,37,2234,302,24,,2618,,,,198,,,,,,,,,,,,,,,,,5423,1,126,5550,7314,
16,MICHOACAN,83,TACAMBARO,38,96,1486,5528,1275,935,710,186,9854,4526,159,,520,663,130,26,39,,,,,,,,,,,,,26037,6,981,27024,56679,
16,MICHOACAN,84,TANCITARO,15,38,3163,1743,958,217,341,611,1341,,,,98,,,,,,,,,,,,,,,,,8472,9,275,8756,22054,
16,MICHOACAN,85,TANGAMANDAPIO,14,41,455,2957,2756,159,538,,1598,,,,62,,,,,,,,,,,,,,,,,8525,17,417,8959,23884,
16,MICHOACAN,86,TANGANCICUARO,27,52,1792,852,1069,316,228,326,2879,1548,1214,1011,65,,,,,,,,,,,,,,,,,11300,4,314,11618,28084,
16,MICHOACAN,87,TANHUATO,11,22,2085,116,519,152,,1110,951,13,24,,56,,,293,,,,,,,,,,,,,,5319,5,178,5502,11728,
16,MICHOACAN,88,TARETAN,9,22,1466,479,222,118,500,243,1519,1703,,,41,124,11,15,2,,,,,,,,,,,,,6443,0,187,6630,11749,
16,MICHOACAN,89,TARIMBARO,40,120,2398,5647,2365,6713,5295,954,3396,4517,187,425,356,411,48,18,34,,,,,,,,,,,,,32764,17,1015,33796,69432,
16,MICHOACAN,90,TEPALCATEPEC,16,31,151,1282,1518,199,604,360,1212,,,1528,116,,,,,,,,,,,,,,,,,6970,2,253,7225,17249,
16,MICHOACAN,91,TINGAMBATO,5,12,,2049,1973,22,121,,691,28,,,7,,,,,,,,,,,,,,,,,4891,1,141,5033,7765,
16,MICHOACAN,92,TINGÜINDIN,11,22,945,598,408,71,1847,1286,1060,,,,27,,,,109,,,,,,,,,,,,,6351,4,179,6534,11493,
16,MICHOACAN,93,TIQUICHEO DE NICOLAS ROMERO,11,18,40,293,644,156,2164,,858,2708,,,92,36,2,3,6,,,,,,,,,,,,,7002,1,217,7220,10619,
16,MICHOACAN,94,TLALPUJAHUA,15,36,108,423,2501,175,4765,2159,1077,464,20,359,41,,19,,,,,,,,,,,,,,,12111,47,395,12553,20265,
16,MICHOACAN,95,TLAZAZALCA,12,14,45,669,1345,34,14,525,440,,,,10,,13,,,,,,,,,,,,,,,3095,1,127,3223,7875,
16,MICHOACAN,96,TOCUMBO,12,19,1467,1425,,72,1736,,889,,,,19,,,,,,,,,,,,,,,,,5608,0,141,5749,9825,
16,MICHOACAN,97,TUMBISCATIO,7,11,1246,,,36,48,,1680,,,,,,,,,,,,,,,,,,,,,3010,0,104,3114,5350,
16,MICHOACAN,98,TURICATO,36,51,162,4559,1867,5637,180,,1915,,,,807,,98,,,,,,,,,,,,,,,15225,1,500,15726,25298,
16,MICHOACAN,99,TUXPAN,17,36,304,873,2356,510,3994,67,2379,59,,980,414,417,22,21,42,,,,,,,,,,,,,12438,10,353,12801,20357,
16,MICHOACAN,100,TUZANTLA,20,27,69,170,1227,188,160,3537,2431,57,,,162,73,3,8,15,,,,,,,,,,,,,8100,0,371,8471,12689,
16,MICHOACAN,101,TZINTZUNTZAN,9,20,94,2177,2437,63,760,66,1604,76,,,23,,17,,,,,,,,,,,,,,,7317,0,295,7612,11612,
16,MICHOACAN,102,TZITZIO,15,20,550,1305,962,93,310,113,714,,,910,58,,,,,,,,,,,,,,,,,5015,1,154,5170,7859,
16,MICHOACAN,103,URUAPAN,141,413,14201,7178,21304,3903,3346,2691,45327,1264,632,1741,1948,2006,170,236,161,,,,,,,,,,,,,106108,100,3730,109938,251615,
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,38,2612,1385,1092,299,190,2590,1287,,,308,97,,,,,,,,,,,,,,,,683,10543,2,335,10880,18793,
16,MICHOACAN,105,VILLAMAR,18,34,1815,2397,268,86,1307,,689,,,,45,,,211,,,,,,,,,,,,,,6818,3,210,7031,15771,
16,MICHOACAN,106,VISTA HERMOSA,13,27,128,1049,,429,68,,4121,,296,,380,,82,,,,,,,,,,,,,,,6553,160,201,6914,15200,
16,MICHOACAN,107,YURECUARO,19,41,,602,279,554,70,3545,2534,2419,,1176,350,,,,70,,,,,,,,,,,,,11599,10,224,11833,23035,
16,MICHOACAN,108,ZACAPU,48,106,4858,2116,9295,444,,3535,3169,1321,148,1854,172,,,,1065,,,,,,,,,,,,,27977,8,990,28975,60798,
16,MICHOACAN,109,ZAMORA,97,256,18223,11487,2026,4022,4737,3399,8822,1176,339,603,785,,,,234,,,,,,,,,,,,,55853,41,1769,57663,151004,
16,MICHOACAN,110,ZINAPARO,7,7,20,771,,21,148,956,102,,,,3,,27,,,,,,,,,,,,,,,2048,2,50,2100,3686,
16,MICHOACAN,111,ZINAPECUARO,32,72,1304,2154,3226,1706,347,,7418,,532,,1816,860,53,76,62,,,,,,,,,,,,,19554,7,598,20159,39716,
16,MICHOACAN,112,ZIRACUARETIRO,7,17,1875,1116,473,121,51,,1778,,,,42,,,,,,,,,,,,,,,,,5456,1,145,5602,9686,
16,MICHOACAN,113,ZITACUARO,72,184,4054,12260,6270,3037,1965,1131,17656,611,,728,2098,3002,306,100,281,,,,,,,,,,,,,53499,27,2296,55822,109003,